Airport_ID	Type	Name	Latitude_Deg	Longitude_Deg	Iata_Code	Airport_Radius
88	heliport	Highway Patrol Troop C Headquarters Heliport	38.641700744628906	-90.48429870605467	0	[(38.66665594322174, -90.48429870605467), (38.66081753583788, -90.46376153196162), (38.64603416938787, -90.45283392987197), (38.62922314533248, -90.45662904625024), (38.618250528660965, -90.47337110396502), (38.618250528660965, -90.49522630814432), (38.62922314533248, -90.5119683658591), (38.64603416938787, -90.51576348223738), (38.66081753583788, -90.50483588014772), (38.66665594322174, -90.48429870605467)]
97	heliport	Vassar Hospital Heliport	41.692415	-73.93683	0	[(41.71737019859284, -73.93683), (41.71153179120897, -73.9153483758515), (41.69674842475896, -73.90391824238372), (41.67993740070358, -73.90788788607806), (41.668964784032056, -73.92539986653223), (41.668964784032056, -73.94826013346777), (41.67993740070358, -73.96577211392196), (41.69674842475896, -73.96974175761628), (41.71153179120897, -73.95831162414852), (41.71737019859284, -73.93683)]
104	heliport	Thirty Thirty Matlock Office Center Heliport	32.69419860839844	-97.11579895019533	0	[(32.71915380699128, -97.11579895019533), (32.71331539960742, -97.09673817256486), (32.6985320331574, -97.08659614462464), (32.68172100910202, -97.09011843396397), (32.6707483924305, -97.1056569222551), (32.6707483924305, -97.12594097813556), (32.68172100910202, -97.1414794664267), (32.6985320331574, -97.14500175576603), (32.71331539960742, -97.13485972782581), (32.71915380699128, -97.11579895019533)]
113	heliport	Whidbey General Hospital Heliport	48.213401794433594	-122.68499755859376	0	[(48.238356993026436, -122.68499755859376), (48.23251858564257, -122.66092507728519), (48.21773521919256, -122.64811637751671), (48.200924195137176, -122.65256479226288), (48.18995157846565, -122.67218885882528), (48.18995157846565, -122.69780625836223), (48.200924195137176, -122.71743032492465), (48.21773521919256, -122.72187873967081), (48.23251858564257, -122.70907003990233), (48.238356993026436, -122.68499755859376)]
130	small_airport	Etowah Fields Airport	34.17530059814453	-84.92440032958984	0	[(34.22521099533021, -84.92440032958984), (34.21353418056248, -84.88562249732797), (34.18396744766246, -84.86498924374904), (34.15034539955169, -84.87215509751567), (34.12840016620866, -84.90376707601091), (34.12840016620866, -84.94503358316878), (34.15034539955169, -84.97664556166401), (34.18396744766246, -84.98381141543065), (34.21353418056248, -84.96317816185172), (34.22521099533021, -84.92440032958984)]
131	heliport	K3 Helipad Heliport	21.35839	-157.94789	0	[(21.38334519859284, -157.94789), (21.377506791208976, -157.93066618553468), (21.362723424758965, -157.92150158527903), (21.34591240070358, -157.9246844175459), (21.334939784032063, -157.93872539974436), (21.334939784032063, -157.95705460025562), (21.34591240070358, -157.9710955824541), (21.362723424758965, -157.97427841472097), (21.377506791208976, -157.96511381446533), (21.38334519859284, -157.94789)]
132	heliport	Boone County Hospital Heliport	42.05609893798828	-93.87799835205078	0	[(42.08105413658112, -93.87799835205078), (42.075215729197254, -93.85639414562714), (42.06043236274724, -93.84489878749312), (42.04362133869186, -93.84889108347632), (42.03264872202034, -93.86650299391677), (42.03264872202034, -93.8894937101848), (42.04362133869186, -93.90710562062525), (42.06043236274724, -93.91109791660845), (42.075215729197254, -93.89960255847444), (42.08105413658112, -93.87799835205078)]
136	heliport	Condell Medical Center Heliport	42.274600982666016	-87.9572982788086	0	[(42.29955618125886, -87.9572982788086), (42.293717773874995, -87.93561932784147), (42.278934407424984, -87.92408419896657), (42.2621233833696, -87.92809030718313), (42.25115076669808, -87.9457631499337), (42.25115076669808, -87.9688334076835), (42.2621233833696, -87.98650625043406), (42.278934407424984, -87.99051235865062), (42.293717773874995, -87.97897722977572), (42.29955618125886, -87.9572982788086)]
138	heliport	St Claire Healthcare Heliport	38.181441	-83.443319	0	[(38.20639619859284, -83.443319), (38.20055779120898, -83.42291222402338), (38.18577442475897, -83.41205400532226), (38.16896340070358, -83.41582502510258), (38.15799078403206, -83.43246078129889), (38.15799078403206, -83.45417721870112), (38.16896340070358, -83.47081297489744), (38.18577442475897, -83.47458399467776), (38.20055779120898, -83.46372577597664), (38.20639619859284, -83.443319)]
150	heliport	Penske Heliport	40.55730056762695	-74.46710205078125	0	[(40.582255766219795, -74.46710205078125), (40.57641735883593, -74.44598883719976), (40.561633992385914, -74.4347547309003), (40.544822968330536, -74.43865629507353), (40.53385035165901, -74.45586794448177), (40.53385035165901, -74.47833615708072), (40.544822968330536, -74.49554780648896), (40.561633992385914, -74.4994493706622), (40.57641735883593, -74.48821526436274), (40.582255766219795, -74.46710205078125)]
160	heliport	Lag III Heliport	40.438301	-79.769997	0	[(40.463256198592845, -79.769997), (40.45741779120898, -79.74892120242251), (40.442634424758964, -79.73770700476292), (40.425823400703585, -79.74160165473809), (40.41485078403206, -79.75878280234042), (40.41485078403206, -79.78121119765959), (40.425823400703585, -79.7983923452619), (40.442634424758964, -79.80228699523708), (40.45741779120898, -79.7910727975775), (40.463256198592845, -79.769997)]
162	heliport	Miramar Residence Heliport	41.457931	-71.304886	0	[(41.482886198592844, -71.304886), (41.47704779120898, -71.28348222020283), (41.46226442475897, -71.27209350684926), (41.445453400703585, -71.2760487654889), (41.43448078403206, -71.29349728664644), (41.43448078403206, -71.31627471335356), (41.445453400703585, -71.33372323451111), (41.46226442475897, -71.33767849315073), (41.47704779120898, -71.32628977979718), (41.482886198592844, -71.304886)]
166	heliport	Baylor Medical Center Heliport	32.39540100097656	-96.86419677734376	0	[(32.420356199569405, -96.86419677734376), (32.414517792185535, -96.84519932984988), (32.399734425735524, -96.83509099917148), (32.38292340168014, -96.83860158557461), (32.37195078500862, -96.85408844666539), (32.37195078500862, -96.87430510802216), (32.38292340168014, -96.88979196911293), (32.399734425735524, -96.89330255551604), (32.414517792185535, -96.88319422483767), (32.420356199569405, -96.86419677734376)]
167	small_airport	Ellis Field	35.780355	-86.585521	0	[(35.83026539718568, -86.58552100000001), (35.81858858241795, -86.54597558490735), (35.78902184951793, -86.52493390903487), (35.75539980140716, -86.5322416063755), (35.733454568064126, -86.56447932412753), (35.733454568064126, -86.60656267587248), (35.75539980140716, -86.6388003936245), (35.78902184951793, -86.64610809096514), (35.81858858241795, -86.62506641509266), (35.83026539718568, -86.58552100000001)]
184	heliport	NGMC Lumpkin Hospital Heliport	34.523153	-83.975058	0	[(34.54810819859284, -83.975058), (34.54226979120898, -83.95558846945987), (34.52748642475897, -83.9452289486392), (34.51067540070358, -83.94882677246324), (34.49970278403206, -83.96469847917933), (34.49970278403206, -83.98541752082068), (34.51067540070358, -84.00128922753677), (34.52748642475897, -84.00488705136081), (34.54226979120898, -83.99452753054014), (34.54810819859284, -83.975058)]
189	heliport	OSF St Anthony's Health Center Heliport	38.904999	-90.173401	0	[(38.92995419859284, -90.173401), (38.924115791208976, -90.15278787681378), (38.909332424758965, -90.14181986305574), (38.89252140070358, -90.14562901425916), (38.881548784032056, -90.16243298624195), (38.881548784032056, -90.18436901375804), (38.89252140070358, -90.20117298574084), (38.909332424758965, -90.20498213694425), (38.924115791208976, -90.19401412318622), (38.92995419859284, -90.173401)]
194	seaplane_base	Lakeside Lodge and Marina Seaplane Base	44.3209	-69.889503	0	[(44.37081039718568, -69.889503), (44.359133582417954, -69.84466083564568), (44.32956684951793, -69.8208008183579), (44.29594480140716, -69.82908731540014), (44.27399956806413, -69.86564298271222), (44.27399956806413, -69.91336301728781), (44.29594480140716, -69.94991868459988), (44.32956684951793, -69.95820518164213), (44.359133582417954, -69.93434516435434), (44.37081039718568, -69.889503)]
196	heliport	Upper Chesapeake Medical Center Heliport	39.518427	-76.346022	0	[(39.543382198592845, -76.346022), (39.53754379120898, -76.32522801875787), (39.52276042475897, -76.31416377243829), (39.505949400703585, -76.3180063448596), (39.49497678403206, -76.33495775368043), (39.49497678403206, -76.35708624631958), (39.505949400703585, -76.37403765514041), (39.52276042475897, -76.37788022756172), (39.53754379120898, -76.36681598124214), (39.543382198592845, -76.346022)]
200	heliport	Vicksburg Medical Center Heliport	32.31880187988281	-90.8832015991211	0	[(32.343757078475655, -90.8832015991211), (32.337918671091785, -90.86422023610136), (32.323135304641774, -90.8541204637929), (32.30632428058639, -90.85762807790533), (32.29535166391487, -90.87310182681264), (32.29535166391487, -90.89330137142954), (32.30632428058639, -90.90877512033686), (32.323135304641774, -90.91228273444928), (32.337918671091785, -90.90218296214083), (32.343757078475655, -90.8832015991211)]
212	heliport	Cleveland Clinic, Marymount Hospital Heliport	41.420312	-81.599552	0	[(41.445267198592845, -81.59955200000002), (41.43942879120898, -81.57816062323096), (41.42464542475897, -81.56677850939082), (41.407834400703585, -81.57073147604348), (41.39686178403206, -81.58816988615986), (41.39686178403206, -81.61093411384016), (41.407834400703585, -81.62837252395654), (41.42464542475897, -81.6323254906092), (41.43942879120898, -81.62094337676906), (41.445267198592845, -81.59955200000002)]
